phase,role,scheduled_units,complete_parents,phase_specific_passes,complete_nonpassing_units,technical_or_partial_fail_closed,itt_pass_rate,wilson_95_lower,wilson_95_upper,predeclared_endpoint,endpoint_met,post_outcome_tuning
initial_fixed_denominator,negative_diagnostic_original_contract,12,9,3,6,3,0.25,0.08894166839405471,0.5323053349335657,all_frozen_gates,false,false
single_date_operational,bounded_single_date_confirmation,4,4,4,0,0,1.0,0.5101091635454027,1.0,bounded_single_date_criterion,true,false
independent_three_date,multidate_operational_endpoint,12,10,7,3,2,0.5833333333333334,0.31951131254954973,0.8067396863412435,at_least_10_of_12_and_zero_fault_copy_admissions,false,false
