dataset_id,window_index,action,capture_status,receiver_count,csi_frame_count,rssi_min_dbm,rssi_max_dbm,rssi_mean_dbm,rssi_std_db,sensing_score,goodput_mbps,p95_latency_ms,loss_rate,service_slo_pass,phase_protocol_complete,note
ugrr-action-campaign,1,shared_pre,completed-campaign-window,2,7900,-77,-47,-63.340506,11.927810,0.263194444444,4.997814435883,10.100000,0.000463347298,true,not_applicable,Unlabelled general activity; action and service outcome are window-level fields.
ugrr-action-campaign,2,switch_to_11,completed-campaign-window,2,7873,-83,-43,-60.611965,13.524155,0.232564936436,5.000062283604,6.950000,0.000000000000,true,not_applicable,Unlabelled general activity; action and service outcome are window-level fields.
ugrr-action-campaign,3,switch_to_6,completed-campaign-window,2,8062,-81,-45,-63.412801,13.389987,0.214470256188,4.999795413980,6.680000,0.000000000000,true,not_applicable,Unlabelled general activity; action and service outcome are window-level fields.
ugrr-action-campaign,4,keep,completed-campaign-window,2,7913,-73,-47,-61.277265,10.749786,0.357189143388,4.997705491708,19.600000,0.000482653436,true,not_applicable,Unlabelled general activity; action and service outcome are window-level fields.
ugrr-labelled-motion-pilot,1,switch_to_11,valid-labelled-segment-post-analysis-failed,2,7235,-86,-45,-63.167104,13.561037,0.899716327134,5.000041162903,6.490000,0.000000000000,true,true,All 12 planned STILL/MOVE phases completed; launcher failed after capture and was reanalysed as a valid labelled pilot segment.
