public_interval_id,policy,measurement_index,offered_udp_mbps,decision,decision_reason,change_type,verified_configuration_change,local_actuator_artifact_bytes,normalised_utility_gain,normalised_change_cost,quality_difference_to_reference,quality_margin_pass,received_throughput_mbps,throughput_gate_pass,udp_loss_percent,udp_loss_gate_pass,icmp_reply_fraction,icmp_reply_gate_pass,icmp_p95_ms,icmp_latency_gate_pass,composite_service_pass
primary_attempt_01,stability_aware,1,3,hold,gain_below_change_threshold,none,false,0,0.061432263285294164,0.21666666666666667,0.0,true,2.997490110665561,true,0.08465137001559367,true,0.9992307692307693,true,69.09999999999972,true,true
primary_attempt_01,stability_aware,2,6,hold,no_proposed_change,none,false,0,0.0,0.0,0.0,true,5.999034708820955,true,0.017078785178584688,true,0.9930769230769231,true,144.0,false,false
primary_attempt_01,stability_aware,3,3,hold,gain_below_change_threshold,none,false,0,0.061432263285294164,0.21666666666666667,0.0,true,2.999228204632791,true,0.026732011583871687,true,0.9946153846153846,true,87.63999999999999,true,true
primary_attempt_01,stability_aware,4,6,hold,no_proposed_change,none,false,0,0.0,0.0,0.0,true,5.999352651063738,true,0.011138338159946536,true,0.963076923076923,true,198.45000000000005,false,false
primary_attempt_01,stability_aware,5,3,hold,gain_below_change_threshold,none,false,0,0.061432263285294164,0.21666666666666667,0.0,true,2.9967570910410144,true,0.10841315809014629,true,0.9946153846153846,true,97.07999999999998,true,true
primary_attempt_01,stability_aware,6,6,hold,no_proposed_change,none,false,0,0.0,0.0,0.0,true,5.999652203352225,true,0.005940447018638152,true,0.9938461538461538,true,134.35000000000014,false,false
primary_attempt_02,immediate_replacement,1,3,replace,immediate_feasible_replacement,optional,true,2711,0.061432263285294164,0.21666666666666667,0.08333333333333326,true,2.999833981933273,true,0.005940447018638152,true,1.0,true,92.71499999999999,true,true
primary_attempt_02,immediate_replacement,2,6,replace,incumbent_infeasible,feasibility_forced,true,2710,-0.024053251368722967,0.21666666666666667,0.0,true,5.999921755152241,true,0.000742555877329769,true,0.9946153846153846,true,330.59999999999604,false,false
primary_attempt_02,immediate_replacement,3,3,replace,immediate_feasible_replacement,optional,true,2711,0.061432263285294164,0.21666666666666667,0.08333333333333326,true,2.9988291908957367,true,0.038612905621148,true,0.9976923076923077,true,98.28000000000003,true,true
primary_attempt_02,immediate_replacement,4,6,replace,incumbent_infeasible,feasibility_forced,true,2710,-0.024053251368722967,0.21666666666666667,0.0,true,5.998965882304403,true,0.017078785178584688,true,0.9976923076923077,true,113.0,false,false
primary_attempt_02,immediate_replacement,5,3,replace,immediate_feasible_replacement,optional,true,2711,0.061432263285294164,0.21666666666666667,0.08333333333333326,true,3.0000139347327046,true,0.001485111754659538,true,1.0,true,69.37999999999992,true,true
primary_attempt_02,immediate_replacement,6,6,replace,incumbent_infeasible,feasibility_forced,true,2710,-0.024053251368722967,0.21666666666666667,0.0,true,5.9996059519031935,true,0.007425613912630227,true,0.9969230769230769,true,139.5,false,false
primary_attempt_04,adapted_hysteresis,1,3,replace,gain_exceeded_hysteresis_threshold,optional,true,2711,0.061432263285294164,0.21666666666666667,0.08333333333333326,true,2.9839536201636974,true,0.5346402316774337,true,0.9623076923076923,true,272.0,false,false
primary_attempt_04,adapted_hysteresis,2,6,replace,incumbent_infeasible,feasibility_forced,true,2710,-0.024053251368722967,0.21666666666666667,0.0,true,5.991727461902193,true,0.07277047597831737,true,0.9861538461538462,true,277.85000000000014,false,false
primary_attempt_04,adapted_hysteresis,3,3,replace,gain_exceeded_hysteresis_threshold,optional,true,2711,0.061432263285294164,0.21666666666666667,0.08333333333333326,true,2.9931988669712872,true,0.22722209846290933,true,0.9907692307692307,true,93.68499999999987,true,true
primary_attempt_04,adapted_hysteresis,4,6,replace,incumbent_infeasible,feasibility_forced,true,2710,-0.024053251368722967,0.21666666666666667,0.0,true,5.9995646425455265,true,0.00742555877329769,true,0.9930769230769231,true,163.5,false,false
primary_attempt_04,adapted_hysteresis,5,3,replace,gain_exceeded_hysteresis_threshold,optional,true,2711,0.061432263285294164,0.21666666666666667,0.08333333333333326,true,2.999027300657942,true,0.03267245860250984,true,0.9984615384615385,true,95.91499999999999,true,true
primary_attempt_04,adapted_hysteresis,6,6,replace,incumbent_infeasible,feasibility_forced,true,2710,-0.024053251368722967,0.21666666666666667,0.0,true,5.999738356496803,true,0.0044553352639786145,true,0.9923076923076923,true,161.84999999999968,false,false
primary_attempt_05,immediate_replacement,1,3,replace,immediate_feasible_replacement,optional,true,2711,0.061432263285294164,0.21666666666666667,0.08333333333333326,true,2.9991875469880402,true,0.025246899829212147,true,1.0,true,81.30999999999999,true,true
primary_attempt_05,immediate_replacement,2,6,replace,incumbent_infeasible,feasibility_forced,true,2710,-0.024053251368722967,0.21666666666666667,0.0,true,5.999185324493423,true,0.012623449914606073,true,0.9953846153846154,true,212.3499999999999,false,false
primary_attempt_05,immediate_replacement,3,3,replace,immediate_feasible_replacement,optional,true,2711,0.061432263285294164,0.21666666666666667,0.08333333333333326,true,2.9989275706975755,true,0.035642682111828916,true,0.9861538461538462,true,112.95000000000005,false,false
primary_attempt_05,immediate_replacement,4,6,replace,incumbent_infeasible,feasibility_forced,true,2710,-0.024053251368722967,0.21666666666666667,0.0,true,5.999518285164106,true,0.00742555877329769,true,0.9946153846153846,true,148.39999999999986,false,false
primary_attempt_05,immediate_replacement,5,3,replace,immediate_feasible_replacement,optional,true,2711,0.061432263285294164,0.21666666666666667,0.08333333333333326,true,2.9983179392250636,true,0.005940447018638152,true,1.0,true,93.04999999999995,true,true
primary_attempt_05,immediate_replacement,6,6,replace,incumbent_infeasible,feasibility_forced,true,2710,-0.024053251368722967,0.21666666666666667,0.0,true,5.9999461310495565,true,0.001485111754659538,true,0.9976923076923077,true,168.20000000000027,false,false
primary_attempt_06,stability_aware,1,3,hold,gain_below_change_threshold,none,false,0,0.061432263285294164,0.21666666666666667,0.0,true,2.9999528044105044,true,0.001485111754659538,true,0.9992307692307693,true,85.36999999999975,true,true
primary_attempt_06,stability_aware,2,6,hold,no_proposed_change,none,false,0,0.0,0.0,0.0,true,5.998947701108147,true,0.017078785178584688,true,0.9861538461538462,true,273.8000000000002,false,false
primary_attempt_06,stability_aware,3,3,hold,gain_below_change_threshold,none,false,0,0.061432263285294164,0.21666666666666667,0.0,true,2.999996146201485,true,0.0,true,1.0,true,80.23499999999997,true,true
primary_attempt_06,stability_aware,4,6,hold,no_proposed_change,none,false,0,0.0,0.0,0.0,true,5.987156241049114,true,0.14331328432464543,true,0.9792307692307692,true,302.5999999999988,false,false
