block_id,candidate_id,entity_role,node_count,assigned_throughput_mbps,received_throughput_mbps,udp_loss_percent,p95_rtt_ms,capture_derived_airtime_fraction,capture_derived_airtime_percent,throughput_pass,loss_pass,latency_pass,service_pass,service_gate_ratio
B03,C1,candidate,1,1.0,0.993548540741147,0.4375804375804376,40.519999999999996,0.0006978666666666666,0.06978666666666666,true,true,true,true,0.905844015762568
B03,C1,candidate,1,3.0,3.00005526296896,0.0,97.73999999999994,0.0004352,0.04352,true,true,true,true,0.9773999999999994
B03,C1,candidate,1,6.0,5.999460558435348,0.00858037667853619,82.57499999999946,0.0007448,0.07448,true,true,true,true,0.900080923510282
B03,C2A,candidate,2,1.0,0.9994874177492044,0.0,73.97999999999976,0.0034192,0.34192,true,true,true,true,0.9004615606134942
B03,C2A,candidate,2,3.0,2.9996044402509563,0.01716001716001716,74.77999999999986,0.0024472,0.24472,true,true,true,true,0.900118683573528
B03,C2A,candidate,2,6.0,5.999920715522852,0.0,296.79999999999984,0.0037262666666666665,0.37262666666666666,true,true,false,false,2.967999999999998
B03,C2B,candidate,2,1.0,0.9995168037307863,0.05148005148005148,95.69999999999987,0.005320066666666666,0.5320066666666666,true,true,true,true,0.9569999999999987
B03,C2B,candidate,2,3.0,3.0000196651174926,0.0,109.21999999999976,0.005298,0.5297999999999999,true,true,false,false,1.0921999999999976
B03,C2B,candidate,2,6.0,5.999779795203318,0.0,324.1999999999996,0.0023778666666666665,0.23778666666666665,true,true,false,false,3.241999999999996
B03,C3,candidate,3,1.0,1.000014776735197,0.0,31.79999999999999,0.0096872,0.96872,true,true,true,true,0.8999867011348365
B03,C3,candidate,3,3.0,3.0000001333219624,0.0,91.19999999999995,0.007925333333333333,0.7925333333333333,true,true,true,true,0.9119999999999995
B03,C3,candidate,3,6.0,5.9999071164901,0.0,444.69999999999936,0.0096016,0.96016,true,true,false,false,4.446999999999994
B03,CTRL0,contextual_control,0,1.0,1.000018487653092,0.0,61.2999999999997,0.0,0.0,true,true,true,true,0.8999833614198255
B03,CTRL0,contextual_control,0,3.0,3.0001167279145644,0.0,105.0,0.0,0.0,true,true,false,false,1.05
B03,CTRL0,contextual_control,0,6.0,5.999880185254218,0.0,683.9499999999991,0.0,0.0,true,true,false,false,6.839499999999991
B08,C1,candidate,1,1.0,0.9982293624778303,0.18018018018018017,6.777999999999985,0.0008304,0.08304,true,true,true,true,0.9015964004164304
B08,C1,candidate,1,3.0,2.9977501418910517,0.0772200772200772,7.253999999999998,0.0006136,0.06136,true,true,true,true,0.9006754639987362
B08,C1,candidate,1,6.0,5.99890401417862,0.017160753357072376,6.741999999999997,0.0008010666666666667,0.08010666666666666,true,true,true,true,0.9001644279083165
B08,C2A,candidate,2,1.0,0.9987094924322056,0.1287001287001287,6.7559999999999825,0.0009704,0.09704,true,true,true,true,0.9011629576166202
B08,C2A,candidate,2,3.0,2.9933872106133856,0.22308022308022307,10.312499999999993,6.72e-05,0.006719999999999999,true,true,true,true,0.901988219374644
B08,C2A,candidate,2,6.0,5.976516384531432,0.39040713887339656,16.259999999999962,2.1066666666666666e-05,0.0021066666666666664,true,true,true,true,0.9035363834986573
B08,C2B,candidate,2,1.0,0.9995083194714177,0.05148005148005148,13.639999999999977,0.001104,0.1104,true,true,true,true,0.900442730157522
B08,C2B,candidate,2,3.0,2.9749942305659176,0.8322608322608323,22.58999999999995,0.0007213333333333334,0.07213333333333334,true,true,true,true,0.9075647852555309
B08,C2B,candidate,2,6.0,5.99520507185704,0.0729332017675576,6.685999999999985,0.0013874666666666667,0.13874666666666668,true,true,true,true,0.9007198144645497
B08,C3,candidate,3,1.0,0.992868919439726,0.489060489060489,19.08,0.001256,0.1256,true,true,true,true,0.9064640682960126
B08,C3,candidate,3,3.0,2.9555904646197746,1.4843414843414844,517.0,0.002097466666666667,0.2097466666666667,true,true,false,false,5.17
B08,C3,candidate,3,6.0,5.9605549227617365,0.6563988159080184,151.09999999999974,0.00044293333333333333,0.04429333333333333,true,true,false,false,1.5109999999999975
B08,CTRL0,contextual_control,0,1.0,0.9966882569782458,0.33462033462033464,11.479999999999965,0.0,0.0,true,true,true,true,0.9029904723956669
B08,CTRL0,contextual_control,0,3.0,2.992631802939595,0.24024024024024024,7.607999999999996,0.0,0.0,true,true,true,true,0.9022159015178047
B08,CTRL0,contextual_control,0,6.0,5.96865143798572,0.5234029773907074,515.9999999999995,0.0,0.0,true,true,false,false,5.159999999999996
