block_id,analysis_role,candidate_id,candidate_design,node_count,raw_rows,binary_balanced_accuracy,three_state_balanced_accuracy,binary_reference_gap_percentage_points,three_state_reference_gap_percentage_points,max_capture_derived_airtime_fraction,max_capture_derived_airtime_percent,node_reduction_fraction_vs_c3,raw_row_reduction_fraction_vs_c3,airtime_reduction_fraction_vs_c3,data_qc_pass,quality_pass,airtime_pass,service_pass,joint_pass,max_service_gate_ratio,exact_selected,qiss_selected
B03,deviation_aware,C1,anchor_only,1,11184,0.45833333333333337,0.3333333333333333,0.0,0.0,0.0007448,0.07448,0.6666666666666666,0.5046066619418852,0.9231150384011891,true,true,true,true,true,0.9773999999999994,true,true
B03,deviation_aware,C2A,anchor_plus_peer_a,2,22156,0.5416666666666666,0.3333333333333333,8.333333333333325,0.0,0.0037262666666666665,0.37262666666666666,0.3333333333333333,0.018603827072997875,0.6153412062653123,true,true,true,false,false,2.967999999999998,false,false
B03,deviation_aware,C2B,anchor_plus_peer_b,2,11604,0.375,0.3333333333333333,-8.333333333333337,0.0,0.005320066666666666,0.5320066666666666,0.3333333333333333,0.4860028348688873,0.45081482093208913,true,true,true,false,false,3.241999999999996,false,false
B03,deviation_aware,C3,full_reference,3,22576,0.45833333333333337,0.3333333333333333,0.0,0.0,0.0096872,0.96872,0.0,0.0,0.0,true,true,true,false,false,4.446999999999994,false,false
B08,primary_per_protocol,C1,anchor_only,1,10874,0.5416666666666666,0.3333333333333333,0.0,0.0,0.0008304,0.08304,0.6666666666666666,0.5109072100031484,0.6040938274744136,true,true,true,true,true,0.9015964004164304,true,true
B08,primary_per_protocol,C2A,anchor_plus_peer_a,2,21770,0.5416666666666666,0.3333333333333333,0.0,0.0,0.0009704,0.09704,0.3333333333333333,0.020824899923537084,0.5373466403915835,true,true,true,true,true,0.9035363834986573,false,false
B08,primary_per_protocol,C2B,anchor_plus_peer_b,2,11337,0.5416666666666666,0.3888888888888889,0.0,5.555555555555558,0.0013874666666666667,0.13874666666666668,0.3333333333333333,0.4900823100796114,0.33850359163435256,true,true,true,true,true,0.9075647852555309,false,false
B08,primary_per_protocol,C3,full_reference,3,22233,0.5416666666666666,0.3333333333333333,0.0,0.0,0.002097466666666667,0.2097466666666667,0.0,0.0,0.0,true,true,true,false,false,5.17,false,false
